Portein1	Protein2	Interaction value	Classifier	GeneSymbol
382972	1080	0.518920487	Mitochondrial function	ATP5B
380379	1080	0.445348124	Metabolism	ENO1
383079	1080	0.483266934	Metabolism	LDHB
395573	1080	0.530665239	ER quality control	P4HB
383917	1080	0.376814527	Degradation	CTSD
382680	1080	0.418381851	Cytoskeleton	PFN1
386491	1080	0.388249627	Translation	EPRS
381073	1080	0.592440659	RNA processing	HNRNPC
397504	1080	0.537547612	Cytoskeleton	TPM2
379546	1080	0.689167183	Cytoskeleton	VIM
386277	1080	0.500124393	Cytoskeleton	KRT7
380013	1080	1	Signaling	GNAI3
390527	1080	0.463479016	Calcium Signaling	ANXA5
380483	1080	0.332808156	RNA processing	SNRPA
387168	1080	0.544003751	Cytoskeleton	TPM1
387772	1080	0.422812387	Folding	HSPD1
379702	1080	0.468698636	Folding	HSPA5
382761	1080	0.516928999	Cytoskeleton	MYH3
382862	1080	0.508319192	Folding	HSPA8
381539	1080	0.551491759	Metabolism	PYGB
385665	1080	0.538708405	Transcription	TOP2A
381489	1080	0.394453205	Metabolism	MTHFD1
380228	1080	0.513986316	RNA processing	PABPC1
393817	1080	0.490754941	NucleicAcidmetabolism	IMPDH2
379716	1080	0.408037545	Nuclearimport	TPR
406633	1080	0.713385637	Metabolism	CKMT1A
380277	1080	0.480692906	Cytoskeleton	ACTN1
379650	1080	0.507485387	Cell adhesion	CDH1
382759	1080	0.516928999	Cytoskeleton	MYH1
381064	1080	0.490754941	Cytoskeleton	MYH7
380557	1080	0.560179039	DNA repair	XRCC5
379516	1080	0.507485387	RNA processing	RNH1
397187	1080	0.490754941	Cytoskeleton	MYH6
385876	1080	0.516928999	Cytoskeleton	MYH8
379102	1080	1	IonTransport	CFTR
391452	1080	0.437304958	Translation	EEF2
389139	1080	0.480209462	ER quality control	PDIA4
385391	1080	0.432255998	N-glycosylation	PRKCSH
380105	1080	0.405242547	Metabolism	PKM2
391189	1080	0.52172408	Folding	HSP90B1
381091	1080	0.439260562	Plasma membrane microdomain organization / anchoring	EZR
421016	1080	0.419472644	NucleicAcidmetabolism	NME1
381178	1080	0.394453205	Cell adhesion	DSP
385774	1080	0.432255998	Cell adhesion	ITGB4
389581	1080	0.582714776	Metabolism	CBR1
393047	1080	0.559368079	Calcium Signaling	ATP2A2
382644	1080	0.494702033	Transcription	UBTF
390133	1080	0.432255998	Degradation	CAPN2
393173	1080	0.507485387	Cytoskeleton	DES
392475	1080	0.432255998	Lipid Metabolism	CTPS
387395	1080	0.413604563	Metabolism	PFKL
390998	1080	0.541323786	Degradation	PSMC3
396736	1080	0.582714776	Signaling	PTPN1
394832	1080	0.507485387	Translation	RPL35A
391647	1080	0.519785297	Trafficking	ARF4
388219	1080	0.477971587	Translation	RPL7
379614	1080	0.408037545	Cell adhesion	VCL
392360	1080	0.432255998	Metabolism	PGAM1
381675	1080	0.497477966	Cytoskeleton	MYL12A
381234	1080	0.408037545	Transcription	POLR2E
385713	1080	0.488898154	Degradation	TRIM21
391853	1080	0.538708405	Trafficking	RAB3B
394989	1080	0.463479016	Uncharacterized	MX2
379288	1080	0.503054851	Degradation	PSMB1
383320	1080	0.48769747	Nuclearimport	LMNB1
397738	1080	0.511915924	Post translational modification	TGM2
384180	1080	0.47626237	Post translational modification	PCMT1
379936	1080	0.507485387	Cell adhesion	CDH3
387219	1080	0.531703841	Mitochondrial function	UQCRC2
382234	1080	0.388249627	ER quality control	KDELR1
383490	1080	0.529264793	Translation	EEF1B2
381620	1080	0.516481439	Cytoskeleton	MYL9
383185	1080	0.371519181	Translation	RPS12
386360	1080	0.553599263	Degradation	DNAJB2
388743	1080	0.561365205	Mitochondrial function	ATP5A1
385271	1080	0.574671611	Degradation	PSMA1
382456	1080	0.574959116	Degradation	PSMA2
381456	1080	0.521977959	Degradation	PSMA3
379670	1080	0.388249627	Degradation	PSMA4
393881	1080	0.44674857	Calcium Signaling	CALML3
388184	1080	0.649256885	Translation	RPL10
380749	1080	0.44674857	NucleicAcidmetabolism	CAD
394063	1080	0.496050288	Folding	CALR
385045	1080	0.518643617	Folding	CANX
383599	1080	0.546196413	Immune response	IL1R2
412409	1080	0.463479016	Degradation	PSMB8
387525	1080	0.547061223	Degradation	PSMA5
389605	1080	0.534277869	Degradation	PSMB4
381502	1080	0.490754941	Degradation	PSMB5
379580	1080	0.541818448	Immune response	GRN
389092	1080	0.531703841	Plasma membrane microdomain organization / anchoring	MARCKS
383880	1080	0.375466273	ROSsignaling	PRDX6
391291	1080	0.448485136	Folding	PDIA3
382261	1080	0.528834959	Signaling	PPP2R1A
386714	1080	0.544003751	Signaling	PPP2R1B
386603	1080	0.463479016	Lipid Metabolism	ALDH1B1
380332	1080	0.463479016	Metabolism	SDHA
391777	1080	0.507485387	Post translational modification	MAT2A
380788	1080	0.453328346	Folding	DNAJA1
379341	1080	0.432255998	Mitochondrial function	UQCRC1
391263	1080	0.544421991	Signaling	YWHAB
393320	1080	0.527273305	Signaling	SFN
391506	1080	0.538708405	ROSsignaling	PRDX2
386429	1080	0.507485387	ER quality control	KDELR2
382077	1080	0.518920487	DNA replication	MCM4
391164	1080	0.534761313	DNA replication	MCM7
379698	1080	0.575710213	Cell adhesion	CTNNA1
391565	1080	0.366470221	Cell adhesion	CTNNB1
391304	1080	0.408037545	Uncharacterized	PHB
386713	1080	0.408037545	Plasma membrane microdomain organization / anchoring	RDX
390452	1080	0.657944165	DNA replication	RFC4
379761	1080	0.463479016	DNA replication	RFC2
381389	1080	0.476394281	Cytoskeleton	MYH9
385877	1080	0.465777203	Cytoskeleton	MYH10
395253	1080	0.44169961	Trafficking	COPB2
380493	1080	0.483266934	Cytoskeleton	ACTN2
392596	1080	0.507485387	Trafficking	BSG
385932	1080	0.472820957	Cytoskeleton	MYH11
389843	1080	0.575226768	Degradation	PSMC2
384092	1080	0.568222205	Metabolism	DLST
387148	1080	0.507485387	Translocation	SRP14
383278	1080	0.507827224	Folding	HSPA9
381377	1080	0.453328346	Translation	RPL3
424300	1080	0.340296164	N-glycosylation	DDOST
384252	1080	0.463479016	Trafficking	ARL1
383037	1080	0.357026609	DNA replication	RFC5
382387	1080	0.463479016	Translation	GARS
386807	1080	0.419472644	RNA processing	LRPPRC
384743	1080	0.60693323	Translocation	SSR1
379416	1080	0.574253371	Degradation	PSMC4
384416	1080	0.525925051	Translation	RPL5
384381	1080	0.477971587	Translation	RPL21
382621	1080	0.516928999	Translation	RPL28
385656	1080	0.582714776	Uncharacterized	MAP1B
386167	1080	1	N-glycosylation	STT3A
380494	1080	0.452043916	Cytoskeleton	CAPZB
392544	1080	0.626721148	Translation	QARS
381128	1080	0.507485387	Trafficking	ARCN1
388555	1080	0.440299164	Folding	CCT5
382809	1080	0.408037545	Translation	RPL34
391969	1080	0.408037545	Lipid Metabolism	FASN
382639	1080	0.582714776	Degradation	PSMB3
384948	1080	0.527273305	Degradation	PSMB2
380322	1080	0.432255998	DNA replication	MCM2
381753	1080	0.56093537	Cytoskeleton	EMD
388407	1080	0.458430056	Folding	SERPINH1
380580	1080	0.492594529	Endocytosis	DNM2
396430	1080	0.458051232	Translation	RPL14
383581	1080	0.463479016	Folding	CCT4
385815	1080	0.56093537	Apoptosis	DAP3
394388	1080	0.419472644	Translocation	SSR4
385980	1080	0.408037545	Lipid Metabolism	HSD17B4
381868	1080	0.408037545	Degradation	PSMD7
381225	1080	0.492992816	RNA processing	HNRNPM
394724	1080	0.47626237	Nuclearimport	KPNA2
383441	1080	0.538708405	RNA processing	NCBP2
383720	1080	0.313020238	Cytoskeleton	CAPZA1
385630	1080	0.357026609	Lipid Metabolism	ACLY
385270	1080	0.626721148	Trafficking	COPB1
426465	1080	0.515528553	Trafficking	CLTCL1
389117	1080	1	IonTransport	SLC16A1
393592	1080	0.483266934	Trafficking	SEC24C
383356	1080	0.463479016	Translation	RARS
389602	1080	0.546196413	Degradation	PSMD4
390845	1080	0.551491759	Degradation	VCP
395977	1080	0.599445222	Chromatinstructure	NAP1L1
387291	1080	0.540444971	Degradation	NPEPPS
422366	1080	0.582714776	Mitochondrial function	ATP5J2
393163	1080	0.357026609	Transcription	CTBP2
382777	1080	0.456474452	Uncharacterized	TMEM33
395011	1080	0.516928999	RNA processing	PCBP3
457493	1080	0.582714776	Uncharacterized	EPPK1
383064	1080	0.352596073	Metabolism	TPI1
382037	1080	0.527273305	Translation	EIF3E
381092	1080	0.493292493	Cytoskeleton	MYL6
381520	1080	0.61923314	Degradation	PSMA6
384903	1080	0.527273305	Cytoskeleton	DSTN
383507	1080	0.582714776	Trafficking	ACTR3
386810	1080	0.531703841	Trafficking	ACTR1A
393106	1080	0.427825462	Translation	RPL15
397237	1080	0.60693323	Translation	RPL37A
379883	1080	0.419472644	Translocation	SEC61A1
392046	1080	0.529264793	Signaling	YWHAG
389670	1080	0.484828587	Calcium Signaling	CALM3
380834	1080	0.552929304	Degradation	PSMC5
382750	1080	0.544576486	Signaling	YWHAE
382938	1080	0.439260562	Translation	RPS13
381445	1080	0.564063341	Degradation	PSMC6
382070	1080	0.590757942	Signaling	PPP2CB
397622	1080	0.540292857	Translation	RPL10A
387822	1080	0.518920487	Translation	RPL32
389835	1080	0.582714776	Translation	RPL8
390755	1080	0.518532175	Signaling	YWHAZ
383342	1080	0.507485387	Degradation	SKP1
400063	1080	0.496050288	Signaling	GNB2L1
383344	1080	0.582714776	Signaling	PPP2CA
391390	1080	0.556540719	Cytoskeleton	TPM4
391084	1080	0.527273305	Folding	CCT2
384280	1080	0.529782852	DNA repair	AC103686.3
383428	1080	0.492316595	Translation	RPL24
381479	1080	0.49999738	Uncharacterized	ERH
380411	1080	0.48641304	IonTransport	SLC25A3
387302	1080	0.470058792	Trafficking	CLTC
383550	1080	0.571279677	Plasma membrane microdomain organization / anchoring	SPTBN1
385597	1080	0.432255998	Cytoskeleton	CAP1
385555	1080	0.463479016	Plasma membrane microdomain organization / anchoring	AKAP12
382682	1080	0.348339329	Mitochondrial function	SLC25A11
382354	1080	0.582714776	Endocytosis	CAV1
381274	1080	0.388249627	Immune response	SEC14L3
389962	1080	0.582714776	Degradation	UBXN1
384739	1080	0.507485387	Metabolism	GLO1
382372	1080	0.415525552	DNA replication	SSBP1
385160	1080	0.568222205	Signaling	YWHAH
397473	1080	0.582714776	Post translational modification	GFPT1
383859	1080	0.419472644	ROSsignaling	PRDX1
382687	1080	0.542048147	Immune response	C1QBP
382707	1080	0.500648254	Degradation	LGALS3BP
390023	1080	0.538708405	Post translational modification	RBBP4
386570	1080	0.371519181	RNA processing	NCBP1
384766	1080	0.558496323	Plasma membrane microdomain organization / anchoring	AHNAK
381358	1080	0.551491759	Endocytosis	AP1B1
380109	1080	0.674674611	Apoptosis	TP53BP1
393763	1080	0.397693239	Uncharacterized	FLII
383093	1080	0.538708405	RNA processing	SFRS9
385499	1080	0.515528553	Transcription	TRIM28
381000	1080	0.502190041	RNA processing	PABPC4
380736	1080	0.463479016	Translation	EIF3I
380850	1080	0.507485387	RNA processing	SF3B2
397420	1080	0.511271809	Cytoskeleton	TUBB3
393201	1080	0.626721148	Cytoskeleton	DCTN2
396917	1080	0.388249627	Cell adhesion	LAMB3
397210	1080	0.57451971	Plasma membrane microdomain organization / anchoring	SPTAN1
386709	1080	0.613937794	Uncharacterized	TRIM29
382555	1080	0.608888834	Translation	EIF3A
382966	1080	0.582714776	N-glycosylation	MLEC
383609	1080	0.574027496	Uncharacterized	FHL2
400160	1080	0.463479016	Trafficking	DCTN1
396998	1080	0.548152016	Trafficking	DYNC1H1
383914	1080	0.533514444	Calcium Signaling	RCN2
380435	1080	0.397693239	DNA replication	MCM6
380952	1080	0.494702033	ER quality control	GANAB
379421	1080	0.515149729	Signaling	MVP
382661	1080	0.49361124	Nuclearimport	KPNB1
384295	1080	0.507485387	Chromatinstructure	NCAPH
390359	1080	0.757392008	Degradation	PSMD6
379345	1080	1	Chromatinstructure	NCAPD2
387698	1080	0.509440991	Folding	PDIA6
393858	1080	0.47626237	Cytoskeleton	PLEC
379759	1080	0.576511198	Calcium Signaling	RCN1
397001	1080	0.498798107	RNA processing	PCBP2
389024	1080	0.588281795	Degradation	TCEB1
381930	1080	0.649901	Degradation	TCEB2
379323	1080	0.507485387	Degradation	UBE3C
381528	1080	0.496050288	Trafficking	SEC23A
381613	1080	0.507485387	Trafficking	SEC23B
380010	1080	0.423568718	Plasma membrane microdomain organization / anchoring	SLC9A3R2
384432	1080	0.388249627	Trafficking	39697
385489	1080	0.507485387	Degradation	ADRM1
382225	1080	0.638156248	Folding	CDC37
383372	1080	0.527273305	Cytoskeleton	DBN1
383634	1080	0.497141081	Post translational modification	QPCT
379811	1080	0.657944165	Cell adhesion	LAMA3
386984	1080	0.463479016	Mitochondrial function	NDUFA9
385740	1080	0.432255998	Mitochondrial function	IMMT
382172	1080	0.513688965	Mitochondrial function	TIMM50
381557	1080	0.530665239	RNA processing	PABPC1L
381250	1080	0.569931422	Degradation	KLHL22
387632	1080	0.388249627	Immune response	FLG2
406562	1080	0.507485387	RNA processing	EXOSC6
385087	1080	0.582714776	Degradation	UBR4
399700	1080	0.408037545	Uncharacterized	KPRP
397053	1080	1	Cytoskeleton	KANK2
394655	1080	0.371519181	RNA processing	ARL6IP4
386422	1080	0.540444971	Cytoskeleton	TNS3
381275	1080	0.421911692	Uncharacterized	CYTSA
382756	1080	0.657944165	Uncharacterized	DHRS7B
385248	1080	0.597207348	Signaling	TTBK2
380765	1080	0.507485387	Mitochondrial function	SLC25A24
385215	1080	0.48769747	Degradation	KLHDC10
385880	1080	0.582714776	Cytoskeleton	MPRIP
391225	1080	0.408037545	Metabolism	LDHAL6A
381058	1080	0.379562346	Uncharacterized	CCDC80
388389	1080	0.483266934	Translation	EIF3M
387611	1080	0.657944165	Chromatinstructure	POGZ
382208	1080	0.430694345	Cytoskeleton	MYH14
447635	1080	0.527273305	Uncharacterized	YTHDF3
395480	1080	0.582714776	RNA processing	PRPF39
385016	1080	1	Trafficking	KTN1
382377	1080	0.657944165	Immune response	TAX1BP1
394896	1080	0.538708405	Calcium Signaling	CALHM3
397302	1080	0.582714776	Uncharacterized	HRNR
394638	1080	0.657944165	Mitochondrial function	MRPL41
385916	1080	0.633725711	RNA processing	SRRM1
380449	1080	0.408037545	Uncharacterized	ANKRD13A
390800	1080	0.55356901	Endocytosis	RASEF
389542	1080	0.544911983	Post translational modification	KIAA1967
387908	1080	0.507485387	Mitochondrial function	SPATA5
386159	1080	0.507485387	Degradation	UBAC2
388892	1080	0.558496323	Metabolism	LPCAT1
379432	1080	1	Plasma membrane microdomain organization / anchoring	GPRC5A
389027	1080	0.517829693	Degradation	PSMA8
387051	1080	0.562926859	Transcription	SMARCC2
381070	1080	1	Trafficking	SCFD1
397181	1080	0.582714776	Lipid Metabolism	FAR1
380888	1080	0.657944165	Uncharacterized	TMEM40
451848	1080	1	Folding	DNAJB3
384234	1080	0.419472644	Folding	HSPH1
396790	1080	0.562926859	Cytoskeleton	MYO18A
389130	1080	1	Nuclearimport	NUP205
396814	1080	0.463479016	Post translational modification	HDAC2
379160	1080	0.549052711	RNA processing	UPF1
380871	1080	0.47626237	RNA processing	KHSRP
382265	1080	0.582714776	Metabolism	GCDH
380364	1080	0.626721148	Calcium Signaling	ATP2A3
383364	1080	0.582714776	Trafficking	ERGIC1
383292	1080	0.567183603	Degradation	FAF2
384956	1080	1	Cytoskeleton	TUBGCP3
393104	1080	0.551491759	RNA processing	PABPC5
385739	1080	0.638156248	Translation	PTCD3
387802	1080	0.483266934	N-glycosylation	GMPPA
393685	1080	0.657944165	Apoptosis	PAWR
391156	1080	1	Folding	TMX3
387593	1080	0.463479016	Endocytosis	SNX27
391192	1080	0.507485387	Degradation	SERPINB12
397591	1080	0.529264793	Nuclearimport	IPO9
388087	1080	0.657944165	Transcription	PURB
390831	1080	0.388249627	RNA processing	STRBP
389095	1080	0.507485387	Transcription	MMS19
379993	1080	0.388249627	Cytoskeleton	CNN2
392912	1080	0.463479016	Degradation	PSMD1
388260	1080	0.582714776	Plasma membrane microdomain organization / anchoring	SIGMAR1
383849	1080	0.527273305	Translation	EBNA1BP2
395168	1080	0.657944165	Trafficking	NIPSNAP1
385181	1080	0.582714776	Lipid Metabolism	APOL2
386908	1080	1	Trafficking	COPS4
393360	1080	0.496465328	Cytoskeleton	TUBB6
382200	1080	0.484395537	RNA processing	HNRNPUL1
386580	1080	0.463479016	Degradation	DERL1
381554	1080	1	Uncharacterized	C20orf24
382582	1080	0.344243255	IonTransport	SFXN3
388390	1080	0.582714776	Trafficking	TNKS1BP1
389985	1080	0.56598433	Degradation	ZYG11B
387162	1080	0.538708405	RNA processing	WDR61
384096	1080	0.507485387	RNA processing	C14orf156
388639	1080	0.555438851	Mitochondrial function	SLC25A31
381530	1080	0.582714776	RNA processing	PNN
388695	1080	0.490160238	RNA processing	PABPC3
381571	1080	0.357026609	Cytoskeleton	TUBB1
390640	1080	0.408037545	IonTransport	SFXN1
382812	1080	0.582714776	Mitochondrial function	GRPEL1
389112	1080	0.657944165	RNA processing	MOV10
380472	1080	0.507485387	Uncharacterized	TM9SF3
381663	1080	0.463479016	Lipid Metabolism	C20orf3
383277	1080	0.633725711	Mitochondrial function	MRPS30
380563	1080	0.507485387	Trafficking	SAR1A
383377	1080	0.507485387	Chromatinstructure	SMC4
397250	1080	0.44169961	Uncharacterized	ATAD3A
397385	1080	0.463479016	Folding	C9orf167
388349	1080	0.582714776	ER quality control	DNAJB12
395093	1080	0.513417633	Cytoskeleton	TUBA8
386887	1080	0.571279677	Cytoskeleton	TMOD3
386513	1080	0.582714776	ER quality control	UGGT1
381228	1080	0.657944165	Lipid Metabolism	TECR
390596	1080	0.432255998	Degradation	ERAP1
382215	1080	0.582714776	Signaling	GLTSCR2
393882	1080	0.701950537	Calcium Signaling	CALML5
391249	1080	0.449363951	Cytoskeleton	MYO1A
387428	1080	1	Post translational modification	SAE1
447988	1080	0.48769747	Trafficking	null
394003	1080	0.657944165	Translation	EIF3K
384969	1080	1	Post translational modification	UBA2
394875	1080	0.32246385	Metabolism	SLC25A10
386223	1080	0.582714776	Cytoskeleton	TES
379775	1080	0.477971587	Plasma membrane microdomain organization / anchoring	LIMA1
379152	1080	0.507485387	Metabolism	SLC25A13
386441	1080	0.408037545	Endocytosis	DBNL
390847	1080	0.542516973	Uncharacterized	STOML2
393648	1080	1	ER quality control	MAN1B1
389618	1080	0.463479016	Degradation	AMFR
384806	1080	0.516928999	Cytoskeleton	MYH2
379250	1080	0.507485387	Cytoskeleton	MYH13
396811	1080	0.423568718	Endocytosis	MYO6
381914	1080	0.582714776	Degradation	STUB1
395574	1080	0.777179926	Degradation	PSMD13
382152	1080	1	Signaling	PPP6R1
379969	1080	0.507485387	Uncharacterized	LIMCH1
381396	1080	0.521977959	RNA processing	TNRC6B
380847	1080	0.538708405	Uncharacterized	C14orf166
397041	1080	1	Signaling	ENTPD4
394918	1080	0.371519181	Transcription	RUVBL2
381314	1080	0.492992816	Translation	EIF3L
393319	1080	0.472922627	Transcription	RUVBL1
385561	1080	0.701950537	Uncharacterized	C20orf4
393071	1080	0.582714776	Mitochondrial function	MRPL11
385408	1080	0.371519181	Translation	RPL36
381626	1080	0.538708405	Immune response	SAMHD1
388428	1080	0.401032981	Folding	HYOU1
381492	1080	1	Chromatinstructure	TELO2
383872	1080	0.494702033	Uncharacterized	BAT2D1
387268	1080	0.516928999	Cytoskeleton	MYH4
394562	1080	0.511742132	Trafficking	COPG
380344	1080	0.535960586	RNA processing	IGF2BP2
384416	424300			
389605	382639			
382287	381128			
381456	389605			
380834	392912			
424300	397237			
382687	381753			
380277	391304			
384416	381377			
381073	385665
390359	384948
382981	382361
380929	396430
390359	387525
385916	387051
394832	385408
389602	390998
390998	381575
390359	389605
384743	382809
381520	384948
382261	383344
379416	384948
380929	389835
389605	387525
384381	382809
383344	386714
387337	396814
385916	380788
381456	385271
390446	383428
381575	382706
383342	389027
379698	396811
381502	383530
384295	379345
393319	394918
379761	390452
379650	380277
383530	389027
421016	397738
384743	397622
392596	382354
386713	385980
381520	382639
391565	381520
382555	393241
390845	381502
384381	397237
380228	382037
382661	389130
394918	396043
384743	382621
390446	394832
384416	388184
382750	400160
390359	381502
384381	397622
389602	382639
379288	382456
406562	380871
382809	393728
391291	381274
381502	381520
388083	385489
380010	386713
380010	379102
389602	381445
383441	382200
387525	384948
382261	397591
424300	382809
388184	384381
381456	389027
381456	385271
387148	387822
385270	381128
380322	391164
380322	383037
382750	382261
381753	397210
387337	388083
389605	381575
381520	387525
381445	382639
424300	394832
391565	385436
389605	381575
389605	397024
391291	394063
382706	379670
394388	388184
390446	382938
383185	382621
381377	389835
382037	380736
380322	381753
394562	395253
389139	388428
382456	384948
394388	381554
388184	393728
396430	384381
390452	383037
389843	381445
391565	380834
381575	381520
380834	384948
379614	385932
384416	396430
380834	382706
394388	383428
387337	391452
380929	387822
390446	393106
396998	384956
400160	381528
379288	382646
390998	381520
390845	379102
381456	383530
382938	394388
381456	379416
390845	386714
388219	382809
387337	381479
382621	387822
391565	383342
384295	379345
385271	387525
379546	385436
381492	381638
381753	383320
390452	383037
379698	379775
381502	385271
382938	389835
382706	381520
391189	383278
387337	385987
379670	387525
383093	389130
391263	385160
389602	385489
380685	380815
387337	385499
386570	384641
380010	385436
379416	392912
381575	381445
389024	381930
384856	381073
379102	380788
393241	394003
388083	385160
391164	380435
387337	382261
387337	383609
383609	386570
389602	392912
379288	382639
382862	379102
384295	383377
380322	380172
396814	390023
384416	384743
390446	387822
388219	381377
381868	382706
396430	397622
390023	393319
382261	383581
380435	381753
391291	394063
379650	379614
383185	394388
380834	397024
387525	381445
387148	381377
381234	380850
393106	389835
380834	382639
384416	383428
381456	392912
394832	389835
387337	382862
396998	386810
382750	393201
391263	382750
388743	422366
380322	382077
380834	389843
381234	385916
381456	382456
382862	390845
381520	385271
380228	382938
379102	389618
386741	383428
386491	383356
381377	393728
388219	397237
381377	382621
400160	384956
394724	382052
384743	393106
389835	385408
400160	386810
379702	387395
397250	381554
387337	391304
379288	389605
381520	381445
383185	387148
386570	383093
379288	387525
393241	387645
390446	382809
380685	391565
390998	382456
379288	389027
379546	385987
389618	383292
382809	397237
387148	393106
383344	391084
382938	424300
390359	381492
384743	397237
389602	388491
386741	424300
392912	379670
379650	385774
382809	385408
388555	382070
388083	384766
392046	385880
379341	380788
383185	386741
379650	379775
395253	381128
392912	382706
389843	382646
382456	382639
380228	393241
390755	381389
389602	379416
382938	397237
388083	389602
379698	380277
388184	381377
396814	379650
391565	381868
382646	387525
381502	382639
396430	393106
390359	381520
381930	400063
391565	389027
382862	380228
392596	389117
384956	386810
381358	380580
391565	384948
382555	383185
387525	389027
388219	383428
383441	397001
387337	380557
382639	384948
379650	383507
379416	385271
380435	380172
382644	385436
379288	384948
392046	396998
382862	381914
379702	393685
388219	389835
384381	383428
381091	380010
379416	379670
383428	387822
381456	397024
388083	385774
382646	397024
381575	383530
382972	391516
381502	397024
391565	379650
388555	383581
382646	381445
382706	382646
379416	381520
382862	381479
382261	382070
389602	379670
383342	383530
383185	384743
382809	394832
394388	394832
382639	395574
381914	390845
379416	379288
384743	388184
397622	394832
391565	397596
383530	387525
383342	384948
381575	379670
381528	388311
389602	389027
379614	385932
380685	391565
380109	385160
389602	383530
383093	382200
382661	382052
381389	385877
388555	391084
379288	382706
379416	381502
387337	388083
387337	396814
379288	385271
387148	389835
388184	387822
382938	393106
382706	382639
381868	380834
397001	381225
393241	381314
397210	383320
385499	380109
396430	382621
394562	395253
394918	388835
379650	396811
392912	384948
381502	389605
393319	396043
389602	385271
381073	397001
387337	382354
380228	383185
382077	380435
382287	381128
380929	394832
381502	379670
383185	383428
384743	424300
381753	381389
389602	382646
396430	397237
382261	386810
381575	385271
390755	392046
388555	391084
387148	397622
391263	385880
394562	385270
390845	383292
385916	383093
